seasonId,isActual,seasonStartDate,seasonEndDate,supportedLeagues,isSupported
2002,false,2002,2003,{},
2003,false,2003,2004,{},
2004,false,2004,2005,{},
2005,false,2005,2006,{},
2006,false,2006,2007,{},
2007,false,2007,2008,{},
2008,false,2008,2009,{},
2009,false,2009,2010,{},
2010,false,2010,2011,{},
2011,false,2011,2012,{},
2012,false,2012,2013,{},
2013,false,2013,2014,{},
2014,false,2014,2015,{},
2015,false,2015,2016,{},
2016,false,2016,2017,{},
2017,false,2017,2018,{},
2018,false,2018,2019,{},
2019,false,2019,2020,{},
2020,false,2020,2021,{},
2021,false,2021,2022,{},
2022,false,2022,2023,{},
2023,false,2023-06-27,2024-07-15,{},true
2024,true,2024-07-08,2025-06-30,{},true